Date,HDFC,ICICI,INFOSYS,L&T,ONGC,RIL,TATA MOTORS,TATA STEELS,TCS,WIPRO,HBL POWER,ISGEC,JPASSOCIAT,MIRZA,NBCC,PNB,PNBGILTS,SUZLON,UNITINT,YES BANK,SENSEX
01-01-2018,928.5,310.549988,517.275024,1261.800049,192.399994,911.549988,425.399994,689.521118,1327.324951,238.312561,73.599998,788.77002,25.1,160.649994,123.574997,169.75,47.400002,15.8,9.93,313.200012,33812.75
02-01-2018,936.349976,309.25,514.75,1249.099976,196.949997,911.400024,438.850006,694.666077,1316.875,239.175064,73.050003,784.51001,23.85,158.75,121.75,166.449997,46.450001,15.85,10.03,311.649994,33812.26
03-01-2018,926.325012,315.049988,509.549988,1276.150024,193.699997,916.349976,433.200012,698.667725,1317.599976,232.650055,73.050003,787.655029,24.25,161.050003,121.75,166.800003,48.099998,15.75,9.76,315.799988,33793.38
04-01-2018,928.650024,314.799988,507.649994,1315.400024,199.350006,920.25,429.700012,724.82135,1324.900024,233.625061,72.800003,785.619995,24.5,162.850006,124.5,176.75,47.650002,15.8,10.02,317.100006,33969.64
05-01-2018,930.224976,312.600006,506.049988,1314.5,197.699997,923,430.799988,733.920288,1342.224976,232.312561,73.5,812.575012,25.049999,161.449997,125.300003,176.050003,47.299999,15.55,9.99,333.049988,34153.85
08-01-2018,929.849976,314.149994,517.825012,1338.099976,197.149994,928.450012,433.700012,732.634033,1353.875,233.287552,73.449997,809.705017,25.4,161,126.675003,175.600006,48,15.65,10,333.399994,34352.79
09-01-2018,931.775024,312.149994,520.650024,1332.800049,196.899994,940.900024,436.549988,735.825867,1354.224976,238.200058,73.75,808.460022,23.6,159.050003,125.275002,174.800003,47.5,16.4,9.92,341.100006,34443.19
10-01-2018,931.25,312,525.799988,1323.849976,197.350006,941.5,432.5,735.397095,1403.550049,244.537567,72.449997,824.914978,24.049999,160.449997,125.224998,170.800003,47.099998,16.450001,9.5,339.75,34433.07
11-01-2018,935.049988,309.450012,537.799988,1320.300049,197.75,937.200012,434.450012,735.158936,1394.199951,240.787567,72.349998,818.505005,23.5,158.75,124.275002,172.25,46.900002,16.450001,9.75,342.600006,34503.49
12-01-2018,932.825012,317.600006,539.200012,1329.199951,200.25,946.75,436.149994,734.634888,1386.449951,239.062561,70.800003,818.650024,23,159.449997,124.675003,173.800003,48.599998,16.200001,9.47,340.649994,34592.39
15-01-2018,947.325012,329.450012,540.200012,1323.099976,196.550003,947.599976,431.75,746.21106,1373.599976,237.337555,71.5,834.570007,23,158.600006,124.324997,172.5,48.599998,16.049999,9.65,335.950012,34843.51
16-01-2018,951.849976,334.149994,561.450012,1323.25,197.100006,923.5,421.799988,730.109192,1425.425049,248.925064,68.449997,829.684998,21.450001,154.449997,121.775002,165.550003,46.849998,15.25,9.1,333.899994,34771.05
17-01-2018,945.549988,343.100006,576.125,1352.25,195.649994,924.650024,422.75,737.683777,1444.724976,244.312561,67.849998,828.159973,22.75,154.800003,122.400002,175.199997,46.549999,15.4,9.08,342.5,35081.82
18-01-2018,965.900024,346.100006,576.375,1358.800049,194.050003,919.299988,418.799988,716.341675,1455.050049,244.537567,64.300003,817.890015,20.85,151.149994,118.900002,170.600006,45.75,14.85,8.91,340.25,35260.29
19-01-2018,975.599976,353.549988,571.625,1371.949951,193.600006,929.349976,418.950012,716.151123,1477.375,246.337555,63.900002,811.734985,21.700001,151.149994,120.050003,176.449997,45.450001,15.1,8.92,348.299988,35511.58
22-01-2018,981.900024,351.299988,575.150024,1398.949951,199.949997,971.200012,421.549988,716.579834,1556.574951,240.600067,66.449997,804.195007,21.950001,150,121.050003,175.800003,45.049999,14.95,9.27,355.25,35798.01
23-01-2018,975.650024,362.049988,587.599976,1409.550049,207.149994,981.700012,418.049988,743.209839,1551.550049,236.325058,67.400002,808.284973,22.1,150.699997,120.724998,185.899994,45.200001,14.95,9.39,358.850006,36139.98
24-01-2018,979.849976,352.649994,592.575012,1400.400024,210.5,964.549988,403.600006,727.346191,1587.300049,235.312561,66.349998,809.900024,21.6,147.149994,119.050003,194.550003,44.599998,14.85,8.97,364.799988,36161.64
25-01-2018,985.125,358.299988,585.400024,1412.949951,208.25,964.549988,400.200012,732.681702,1558.925049,233.962555,65.050003,802.960022,22,147.350006,117.324997,180.800003,44.150002,14.6,8.67,363.5,36050.44
29-01-2018,999.775024,357.299988,590.75,1428.300049,204.949997,963.799988,399.299988,745.782288,1597.550049,233.962555,64.25,768.22998,20.25,140.550003,115.25,173.949997,43.849998,14.65,8.63,357.549988,36283.25
30-01-2018,999.424988,352.600006,584.849976,1429.099976,203.800003,949.25,396.200012,738.922363,1576.849976,230.775055,61.900002,751.280029,20.35,136.75,112.375,172.699997,43.75,14.6,8.81,353.450012,36033.73
31-01-2018,1003.174988,352.950012,575.325012,1416.599976,203.350006,961.150024,399.25,705.049988,1555.875,228.487564,61.099998,748.515015,20.35,134.399994,112.925003,171.25,43.150002,14.6,8.51,354.450012,35965.02
